	ID по указалю	Wikidata	Комментарий из ПСС	geo																
Матвеевы	8659		Матвеевы: Варвара Дмитриевна — помещица, соседка Сухотиных, Д. П. Маковицкий пишет про нее: «В. Д. Матвеева, сочувствующая Льву Николаевичу, больная, добрая старушка»; ее родственник В. А. Матвеев — см. прим. 695. Толстой со своим спутником пробыл у Матвеевых около двух часов и возвращался в сопровождении В. Д. Матвеевой, в ее экипаже до дер. Желябухи, а дальше с Маковицким до Кочетов.																	
Матвеева Ольга Родионовна («Егорова», «Ершова», «Ольгушка»)	8658		Матвеева (Егорова) Ольга Родионовна (р. 1851 г.). О ней сообщает некоторые сведения в газете «Русское слово» А. Панкратов (см. стр. 439), который беседовал с нею в Ясной поляне о Толстом и о его школе. 																	
Антанцев Никифор	527		Антанцев писал о трудностях своей жизни и просил прислать «за казенный счет» курс гипнотизма, личного магнетизма, месмеризма, о чем он прочел прилагаемое печатное объявление Нью-йоркского института знаний («New-Jork Institute of Scienc» — Москва, Кузнецкий переулок, д. Сокол). Л[ев] Н[иколаевич] оч[ень] сожалеет о том, что вас может интересовать тот вздор, о котором объявляют.																	
Эрденко Евгения Иосифовна	15999		Евгения Иосифовна Эрденко, пианистка, впоследствии профессор Московской государственной консерватории. М. Г. Эрденко приехал в Ясную Поляну показать Толстому свою манеру «декламативного искусства» русской музыки, которую он был намерен сделать доступной для народа.																	
Эрдели Мария Александровна, рожд. Кузминская	15998		Эрдели Мария Александровна, рожд. Кузьминская (р. 1869 г.) — дочь А. М. и Т. А. Кузминских																	
Матвеев Григорий Иванович	8651		Матвеев писал Толстому о заветах Христа и о баптистах.																	
Матвеев Владимир Николаевич	8650		Владимир Николаевич Матвеев, был драгоманом в Персии.																	
Матвеев С.	8653		С. Матвееву, 13 ноября. В письме от 8 ноября из Сергиево-Ивановского Смоленской губ. Матвеев просил прислать ему несколько книг и спрашивал имеются ли «толстовские» колонии. Послать немного книг. Кроме ответа, посланы книги.																	
Матвеев Иван Васильевич	8652		как кучер Иван [Иван Васильевич Матвеев] однажды на вопрос, что делается в Ясной поляне, ответил, что плохо. А потом сказал: «У нас по деревенски, если баба задурит, муж ее возжами, — шелковая станет». (Дневник А. Л. Толстой.)																	
Эпикур	15991	Q43216																		
Матвеев Ф.	8654		Фрол Матвееву — личность осталась невыясненной.																	
Матвеева Ольга, рожд. Абакумова	8657		Об Абакумовой упоминает в своих воспоминаниях Т. А. Кузминская, называя ее «хорошенькой кузиной» соседки по даче в Покровском Юлии Мартыновой (I, стр. 91).																	
Матвеева Вера Петровна	8656		Вера Петровна Матвеева — земский врач.																	
«Тысяча и одна ночь»	14161	Q21293274																		
Шредер П. (Schreuder)	15748	Q363989																		
Кузьмин Алексей Васильевич	7330	Q52605754																		
Типольт Эмаиуил Александрович (Типот)	13735		Эмануил Александрович Типольт, товарищ прокурора в Туле.																	
Москва-река	9317	Q175117																		
Ильяшенко	5753		Соловьева Вера Алек[сандровна], Черныш[евский] переулок, д. Пустошкина. —Ильяшенко.																	
Былины об Илье Муромце:	5752		«Приобретение силы» — рассказ о том, как Илья Муромец, будучи до 32 лет по болезни ног лишен возможности передвигаться, вдруг получил исцеление. В одной из былин Илья получил силу от Святогора, в другой — от Иисуса Христа, в третьей — от странников, в четвертой — от калик («Илья Муромец и Святогор богатырь», «Илья и Соловей», «Получение силы Ильей» и «Святогор и Илья»). 2. «Подвиги на пути в Киев. Снятие осады Чернигова» — здесь Толстой использует известный эпизод из былины «Илья и Соловей разбойник».391 392 3. «Илья и прекрасная королевична» — имеется в виду эпизод из былины «Три поездки Ильи», в котором рассказывается, как Илью заманила «премлада Королевична» и хотела убить его и как он перехитрил и сам убил ее и освободил «много сильных-могучих богатырей». 4. «Битва с богатырем» — первоначально Толстой хотел воспользоваться эпизодом боя Ильи с своей дочерью; затем заменил его эпизодом боя Ильи с сыном («Илья Муромец и сын», «Илья и Сокольник»), оставив, однако, указание на отказ Добрыни и Алеши сражаться с богатырем-женщиной, о чем говорится в былине «Илья Муромец и дочь». 5. «Илья и Идолище» — рассказ из одноименной былины о бое Ильи с «поганым Идолшцем». Илья, на пути в Иерусалим, у Цареграда встречает калику Иваншце и спрашивает его: «А всё ли в Царе-граде попрежнему?» — «Не по-старому в Царе-граде, — отвечает Иванище, — не по-прежнему; одолели поганые татаровья, наехал есть поганый Идолище. Святые образы поколоты, поколоты, в черной грязи потоптаны, в божьих церквах коней кормят». Илья меняется с Иванищем платьем и одетый каликою идет в Царе-град, где встречает Идолищу. Идолище, не думая, что имеет дело с самим богатырем, расспрашивает об Илье Муромце, каков он собой: велик ли, силен ли и много ли он ест и пьет; и в свою очередь хвалится, как он много может съесть и выпить. Илья смеется над ним: «У нашего у попа Ростовского была корова обжориста, много ела-пила, тут и треснула. А тебе бы, поганому, и так же быть!» — и убивает Идолище.  Упоминания Митеньки, от которого Илья «получает известие», очевидно, связано у Толстого с именем его брата Дмитрия Николаевича Толстого, тип которого Толстой, отожествляя с былинным каликою Иванищем, повидимому хотел использовать в своем романе. В дальнейших записях Митенька характеризуется Толстым так же как калика.  6. «Ссорится с обществом» — очевидно, имеется в виду эпизод из былин «Ссора Ильи с Владимиром» и «Илья и Соловей», в котором говорится, как разгневанный на Владимира Илья призывает «голь кабацкую» «обирать казну княжескую».																	
Семенов Наум	12439		временно обязанного крестьянина его сельца Хомяковки Наума Семенова																	
Илья Митрофанович	5750	Q12130821																		
Имеретия (Кавказ)	5757	Q200045																		
Иляска	5756		к Иляске — уменьшительное от Илья; вероятно местный казак, а может быть одно лицо с упоминавшимся раньше в записи от 29 марта 1852 г. нагайцем Абилезом (Абу-Ильясом).																	
Илюшин Г. И.	5755		Г. И. Илюшину (Сарочинки, Тульской губ.), 13 мая. Ответ на письмо от 12 мая (почт. шт.) с просьбой дать отзыв о его стихотворении «Бедность мужика». На конверте Толстой написал:Стихи повторяют известн[ые] и плох[ие], не советую писать.																	
Ильяшенко Б. П.	5754		Б. П. Ильяшенко. Апреля середина. В письме от 5 апреля Ильяшенко просил указать адрес издателей запрещенных в России произведений Толстого. Ответил C. Л. Толстой.																	
«Император Александр I и его сподвижники в 1812, 1813, 1814, 1815 гг. Военная галерея Зимнего дворца», СПб. 1845—1849; 1—6 тт.	5759		Имеется в виду издание: Михайловский-Данилевский «Император Александр I и его сподвижники в 1812, 1813, 1814, 1815 годах. Военная галлерея Зимнего дворца». Изд. В. Межевича и И. Песецкого. Спб. 1845—1849 в шести томах, заключающих 159 литографированных портретов и биографий.																	
Иммензе (Швейцария)	5758	Q484512																		
Травино Тульской губ.	13960																			
Годьежиц («Гидьежиц», «Подыжиц»), селение (Моравия)	3448																			
Чепурин Иван	15195		Может быть, записи относятся к рукописи крестьянина И. Чепурина, побывавшего в разных странах и описавшего по совету Толстого свою жизнь. И. Чепурин привозил свою рукопись к Толстому в Кочеты 27 августа. См. запись в Дневнике от этого числа и прим. 1251.																	
Ченисов П. И.	15194		П. И. Ченисову. Декабря середина. В письме от 13 декабря крестьянин Симбирской губ. Ченисов просил разрешения приехать к Толстому для беседы. На конверте пометка Толстого: «Написать, что не имею времени», Ответил X. И. Абрикосов.																	
Червленная Терской обл., станица	15197	Q4511998																		
Барятинский Александр Петрович	1017	Q4078927																		
Чепелев Иван Всеволодович	15191		крестьянина Чипелева, молоканина по вере																	
Чепелев Всеволод Трофимович	15190		Толстой отдал заехавшим к нему по дороге в Петербург хлопотать о возвращении детей, отнятых у самарских сектантов-молокан, крестьянам Бузулукского уезда Самарской губ. Василию Ивановичу Токареву и Всеволоду Трофимовичу Чепелеву.																	
Чепелкин Николай Галактионович	15193		Николай Галактионович Чепелкин (р. 10 декабря 1862 г., ум. 22 декабря 1921 г.) — сельский врач местечка Усвяты Велижского у. Витебской губ. (1888—1900), ординатор витебской губернской земской больницы (1900—1909), откуда ушел после отказа от присутствия при совершении смертной казни; ординатор петербургской городской колонии для душевнобольных на Ново-знаменской даче (1909—1919). Лично с Толстым знаком не был.																	
Чепелева Мария Всеволодовна	15192		Бузулукской команды Захар Петров от к[рестьянин]а села Бобровки Всеволода Чипелева, проживающего в селе Алексеевке, трех детей: Ивана, Василья и Марью сего числа для представления Господину Исправнику взяты.																	
Москва	9316	Q649																		
Чердынский уезд Пермской губ.	15199																			
Червонюк	15198	Q12169671																		
Тельниц (Моравия)	13615																			
Годвин Вильям	3445	Q188569																		
Драный Семен	4609	Q4167722																		
Гоголь Николай Васильевич	3444	Q43718																		
Семенова Анна Николаевна	12445		Анна Николаевна Семенова (в замужестве Куняевой).8 сентября. Узнав, что H. Н. Гусев выслан в Чердынский уезд, Семенова в письме от 31 августа из Перми спрашивала его адрес, чтобы «снестись с ним и быть ему посильно полезной». Написать о Гусеве.																	
Жюно Андох, герцог Д’Абрантес	5198	Q353907																		
Годзиев Е.	3447		Е. Годзиев в письме из Ростова н/Д от 27 августа благодарил за присланные книги и выражал сочувствие взглядам Толстого. Хор[ошее] письмо.																	
Базилевская Вера Петровна, в замужестве Трубецкая	862		Жена Льва Михайловича Сухотина, Елена Петровна, рожд. Базилевская (р. 1879 г.).																	
Москалева Лидия	9315		26 сентября 1906 г. учителя Григорий и Лидия Москалевы, подвергшиеся гонению за «честную деятельность и сочувствие к идее школьной свободы», просили дать им «рекомендацию в какое-либо общество» за границей. На конверте письма адресатов помета Толстого: Написать, что не могу.																	
Базыкин Ермил Никонович (Аниканов)	865		Базыкин Ермил — яснополянский крестьянин																	
Базунов Александр Федорович	864		Александр Федорович Базунов, московский издатель-книгопродавец.																	
Федор, византийский военачальник	14376		Византійскій императоръ или императрица послалъ своего523 524военачальника (не помню Федора или Павла) противъ нарушающихъ единство церкви еретиковъ павликіанцевъ. Военачальникъ прибылъ на мѣсто, распорядился, какъ это было свойственно людямъ того времени, умертвилъ всѣхъ мущинъ и женщинъ, которые не успѣли разбѣжаться, и сжегъ и истребилъ жилища. 																	
Базыкин Тимофей Ермилович (Аниканов)	867		яснополянский крестьянин Ермил Никонович Базыкиным, по прозвищу — Аникановым (по его отцу Никону Никитичу)																	
Гогенлоэ-Нейенштейн Ингельфинген Фридрих Людвиг	3442	Q214156																		
Салехов Табриз	12178		Табриз Салехов (р. 1893) — татарин из г. Малмыжа Вятской губ., в письме просил разъяснить: 1) идеи евангелия, о любви к ближнему; относится ли понятие «ближнего» только к христианству или «ко всем народностям вселенной», 2) если мы признаем долг братства, то почему не исполняем его?																	
Беневский Иван Аркадьевич	1231		Иван Аркадьевич Беневский (р. 29 мая 1880 г., ум. 5 марта 1922 г.) — единомышленник Толстого, сын приамурского генерал-губернатора, устроитель харьковской земледельческой общины.																	
Серван	12503	Q592867																		
Сербская Ольга Яковлевна	12502		льга Яковлевна Сербская. М. А. Шмидт в недатированном письме к Толстому 1887 года пишет, что Сербская ее «большая приятельница», «горячо любящая» мысли Толстого. (АТБ)																	
Сербия	12501	Q403																		
Сербинович Константин Степанович	12500		 выходе в свет 10-го и 11-го томов «Истории государства российского» Карамзина Толстой прочел в воспоминаниях Сербиновича о Карамзине в PC																	
Сергеев	12507		О Рыбакове. Есть свидетел. Иван Сергеев Панов.																	
Сервез Морис	12506		М. Сервезу (Maurice Servais, С. Ингеберт), 13 февраля.Сервез предлагал Толстому новый материал для романа. Душану. Не имею времени.																	
Серве Мигуэль	12505		Михаил Серве (1511—1553) — испанский богослов, врач. За свои убеждения, расходившиеся с католицизмом и протестантизмом, был сожжен Кальвином в Женеве.																	
Сервантес Мигуэль Сааведра	12504	Q5682																		
Сугимото Иосио (Sugimoto Ioshio)	13330	Q11522128																		
Сергеев Василий Семенович	12509		В. С. Сергееву (Курская губ.), 9 марта. При письме от 20 февраля сын бедного крестьянина В. С. Сергеев прислал на отзыв свои стихи. Ответ[ить], ч[то] не надо писать стихов.																	
Сергеев Александр Саввич	12508	Q18277532																		
Волков Петр Николаевич	2754	Q4123344																		
Кунингам-Гейкей	7434		Основа всякой государственной религии есть насилие, основа христианства — любовь. Государство — это принуждение, христианство — убеждение. Меч и посох пастуха противоположны и не могут быть союзниками. Кунингам Гейкей.																	
Кунц	7435	Q976759																		
Кунцево Московской губ. —	7436	Q155102																		
Волкова А.	2755	Q2645703																		
Курносенковы	7430		Д. П. Маковицкий 31 января 1909 г. записал: «Лев Николаевич днем гулял по деревне. За обедом с глубокой скорбью говорил о том, какая бедность у Курносенковых, подробно рассказал302 303про детей, про больную старуху. Потом про Копыловых: муж и жена с грудным ребенком в остроге за конокрадство, мальчик их, 13 лет, посажен в исправительный дом на пять лет» (ЯЗ).																	
Кунавино (Нижний-Новгород)	7431																			
Кунаково Рязанской губ.	7432																			
Кунин А. А.	7433		Писчебумажный магазин А. А. Кукина, где была закуплена бумага для всех изданных в 1875 г. книг Толстого.																	
Скляев	12725	Q4421940																		
Булгакова Юлия Николаевна	2020		Булгаков — Павел Александрович Булгаков (р. 29 июня 1825 г., ум. 11 апреля 1873 г.) — сын московского почт-директора Александра Яковлевича Булгакова (1781—1863) и Натальи Васильевны рожд. кж. Хованской (1785—1841). Поступил на службу в московский почтамт в 1845 г.; в 1849 г. переведен в ведомство Министерства иностранных дел чиновником при дипломатической канцелярии кавказского наместника; в 1865—1867 гг. был генеральным консулом в Любеке. Женат был на Юлии Николаевне Исленьевой (1818—1871), дочери Николая Михайловича Исленьева и Софьи Алексеевны Горяиновой.																	
Куперник Л. А.	7438	Q4247445																		
Куприн Александр Иванович	7439	Q271457																		
Волков П. С.	2753		 П. С. Волкову (Москва), 18 сентября. В письме от 16 сентября крестьянин П. С. Волков спрашивал, стоит ли ему заняться литературой, если у него есть «насчет этого талант».Отв[етить]: не сов[етую].																	
Васильчиков А. И.	2323	Q24357876																		
Мосей, шут	9313		Дураку Шуту Мосею изъ покромокъ платье. 																	
Волков Николай Аполлонович	2750		Николай Аполлонович Волков (1795—1858), отец приятеля Толстого, Аполлона Николаевича Волкова (1819—1896).																	
«Дурень», народная сказка	4706		 Дурень ты, дурень. — Взято из русской народной сказки «Дурень». Толстой поместил эту сказку в свою «Азбуку» (1872 г., стр. 99—103) в редакции сборника Кирши Данилова																	
Булгарин Фаддей Венедиктович	2023	Q561639																		
Драганов Петр Данилович	4604		П. Д. Драганову (Астрахань), начало марта. В письме от 22 февраля П. Д. Драганов, автор книги о Толстом, библиограф, просил сообщить, какие новые издания переводов произведении Толстого имеются в яснополянской библиотеке. Сведения нужны были для его библиографической работы.																	
Васильченко Я.	2321		 Я. Васильченко — в 1906 г. был рабочим в г. Харькове.																	
Колесов	6675	Q12793874																		
Симон-Диманш Луиза	12645		Француженка Луиза Симон-Диманш, бывшая в связи с окончившим в 1838 г. Московский университет Александром Васильевичем Сухово-Кобылиным (1817—1903), автором «Свадьбы Кречинского», была убита 7 ноября 1850 г. в его квартире.																	
Колесовка Тульской губ.	6677	Q23847132																		
Васильченко Максим В.	2320		М. В. Васильченко (Туруханский край), 27 ноября. В письме от 1 ноября М. В. Васильченко, административно сосланный крестьянин Херсонской губ, выражал сочувствие мировоззрению Толстого и просил книг.																	
Колесников Константин	6671	Q4227778																		
Колесников Иван Васильевич («крестьянин», «мужик»)	6670		«Безграмотный крестьянин» — Иван Васильевич Колесников, живший в Челябинске.																	
Колесникова Елена Алексеевна	6673		 Е. А. Колесниковой (Устюжский уезд Вологодской губ.), 16 мая. Колесникова спрашивала Толстого, посещать ли ей церковь, если против ее убеждений родители принуждают ее к этому. Послать «Н[а] к[аждый] д[ень]», написать, что осуждать не нужно, но и ходить не нужно.																	
Колесников П. П.	6672		П. П. Колесникову (Астрахань), 21 октября. В письме от 15 октября и в предыдущем от 17 сентября, оставшемся без ответа, служащий казенной палаты П. П. Колесников просил Толстого выступить с призывом к передовым людям принять энергичное участие в борьбе с пьянством. Вполне согласен с ним и советую ему самому сделать то, что он предлагает. Не делаю же того, что он мне предлагает, п[отому], ч[то] не думаю, чтобы мое такое обращен[ие] имело успех. Думаю, ч[то] основа всего — религия, и люди истинно верующие сами собой бросят пьян[ство].																	
Юргенс Анна Карловна, рожд. Зенгер	16082		Анна Карловна Юргенс (р. 1843), рожд. Зенгер, знакомая С. А. Толстой. Письмо Юргенс неизвестно.																	
Дурас В. Г.	4703		. Г. Дурасу (Duras, Нью-Йорк), 23 июня. Ответ на письмо от 19 июня нов. ст. с сообщением о посылке Толстому своей книги «Universal peace» («Всеобщий мир») и с просьбой дать о ней отзыв (подлинник по-английски). На конверте Толстой пометил:Душану ответить, найти книгу.																	
Юрбург («Юнсбург») Виленской губ.	16080	Q835838																		
Юргевич Софья Леонидовна	16081		Софии Леонидовны Юргевич (Гатчина) от 20 июня 1908 г. Корреспондентка, «восемнадцатилетняя девчонка», как она назвала себя, писала о своем разочаровании в православии и о благодетельном влиянии на нее религиозно-нравственных произведений Толстого. Один вопрос мучил ее больше других: «Как должна воспитать детей своих та мать, которая сбросила с себя предрассудки, в которых она воспитывалась и которыми живут все окружающие?»																	
Коллар Ян	6679	Q220550																		
Колизей (Рим)	6678	Q10285																		
Юрин H., «Открытое письмо В. Г. Черткову»	16084		Несколько позже статья появилась в журнале «Жизнь для всех» (1910 г., № 8—9), куда была послана Толстым в связи с напечатанным544 545в предыдущем номере этого журнала «Открытым письмом В. Г. Черткову» некоего Н. Юрина.																	
Дураков-Небоялов Константин Кузьмич (Саянский)	4702		Константин Кузьмич Дураков-Небоялов, с 1910 г. Саянский (р. 1886) — крестьянин д. Будановка Курской губ. Познакомился с Толстым 25 сентября 1903 г.																	
Майков Михаил Григорьевич («М. М.»)	8286		Михаил Григорьевич Майков (ум. 1905), журналист и беллетрист, корреспондент «Нового времени». Им напечатаны в «Биржевых ведомостях», 1903, № 233 от 28 августа, за подписью «М. М.», воспоминания: «У Л. Н. Толстого в голодный 1891—1892 г.». О посещении им Бегичевки см. в дневнике Е. И. Раевской запись от 22 ноября 1891 г. 																	
Мосальский уезд Калужской губ.	9312																			
Беляев Агапит Федорович	1208		Агапит Федорович Беляев (р. 1853), московский врач, специалист по болезням уха, горла, носа.																	
Дуняша	4701		Прикажите старосте каждую неделю через Дуняшу писать мне. 																	
Олсуфьев Василий Александрович	10173		Василий Александрович Олсуфьев (1831—1883), который в конце 1850-х гг. был почетным попечителем Московского второго уездного училища.																	
Семенов Михаил	12438	Q4415834																		
Драгомиров Михаил Иванович	4605	Q571420																		
рович	2324																			
Мидоус Томас Тейлор	8890	Q18552359																		
Жуффруа Теодор	5194	Q610240																		
Плеханово Тульской губ.	10868	Q3906616																		
Плехановская школа	10869		В журнале «Ясная поляна» Петерсон напечатал две статьи, под инициалами: Н. П. П.: «Головлинская школа» (июнь, стр. 32—39) и «Плехановская школа» (октябрь, стр. 24—37). Обе статьи, особенно вторая, с обширными выдержками из тогдашнего дневника Петерсона, богаты фактическим материалом и дают ценные сведения о школьной работе молодых учителей-студентов, под непосредственным руководством Толстого.																	
Плевна	10862	Q165420																		
Плепис А. И.	10863		А. И. Плепису (Двинск), 16 декабря. В письме от 8 декабря ученик шестого класса городского училища А. И. Плепис прислал на отзыв несколько своих стихотворений. Стихи оч[ень] плохи. Советую не заниматься этим пустым делом.																	
Плеве Вячеслав Константинович	10860	Q351927																		
Плевинская Е. С.	10861		 Е. С. Плевинской — на письмо от 19 ноября ответила Т. Л. Толстая.																	
Плетнева Александра Васильевна	10866		Александра Васильевна Плетнева, рожд. кн. Щетинина (1826—1901) — вторая жена П. А. Плетнева (с 1849 г.).																	
Плетнева Анна Петровна	10867		А. П. Плетневой (Ишим Тобольской губ.), конец марта. В письме от 9 марта (почт. шт.) А. П. Плетнева, жена учителя, просила 60 р. для уплаты долгов. Послать отказ. Пометы об ответе нет.																	
Плетнев Алексей Петрович	10864		Петр Александрович Плетнев (1792—1862) — профессор русской литературы и ректор Петербургского университета, критик и журналист. Один из близких людей к Пушкину, ведавший делом его изданий. Пушкин посвятил Плетневу «Евгения Онегина». После смерти Пушкина Плетнев сделался издателем основанного им «Современника», но в 1847 г. продал право издания Некрасову и Панаеву. В 1849 г. Толстой подавал на имя Плетнева, как ректора Петербургского университета, прошение о разрешении держать экстерном экзамены.																	
Плетнев Петр Александрович	10865	Q2993843																		
Мосальский Михаил Алексеевич	9311		М. А. Мосальскому (Иркутск), середина ноября. При письме от 4 ноября железнодорожный рабочий Михаил Алексеевич Мосальский прислал на отзыв несколько своих стихотворений. Совет[ую] не заниматься пустым занятием.																	
Тельный Василий	13616		Тельный Василий — донской атаман 																	
Гарибальди Джузеппе	3124	Q539																		
Жюльен Станислав (Julien)	5197	Q24398737																		
Склабовский	12722		Голикова, Склабовского, Ушакова, Яновского Дано 800 р. 																	
Теодорус	13638	Q15885228																		
Боратынский Лев Андреевич	1713		Л. А. Боратынского - московского вице-губернатор																	
Моряков Иван Тимофеевич	9310		И. Т. Морякову, 23 октября. В письме от 21 октября из Петербурга Моряков, поденный рабочий, описывал свое бедственное положение и просил разрешения прислать подробную автобиографию. Написать, чтобы ничего не присылал.																	
Герке М. Ф.	3286		М. Ф. Герке. Декабря середина. В письме от 10 декабря Герке просил разрешения приехать в Ясную Поляну. На конверте пометка Толстого: «Ответить, чтобы писал».																	
Самборский Андрей Афанасьевич	12220	Q4406515																		
Броше Гюстав (Brocher)	1914		Густав Броше (1850—1931) — профессор-лингвист, анархист, был знаком с Марксом и Энгельсом. С 1893 г. жил в Швейцарии.																	
Жюлиан Родольф	5196	Q3438336																		
Танеев Сергей Иванович	13508	Q335006																		
Салиас де Турнемир Елизавета Васильевна (Евгения Тур)	12179	Q4172868																		
Вейнберг Петр Исаевич	2369	Q4106006																		
Вейнберг Михаил	2368		8 апреля к Толстому приезжал Михаил Вейнберг, член земледельческой колонии в Ташкенте, и рассказывал подробности о помешательстве И. А. Репина. См. письмо № 63 и прим. к нему.																	
Веймарские герцоги	2367		И пусть он знает, что я это сделаю, — сказал Наполеон, вставая и отталкивая рукой свою чашку. — Я выгоню из Германии всех его родных, Виртембергских, Баденских, Веймарских...да, я выгоню их. Пусть он готовит для них убежище в России!																	
Веймарн Петр Владимирович	2366		еймарн Петр Владимирович (уб. под Федюхиными высотами 4 авг. 1855 г.) — один из очень образованных офицеров того времени; окончил курс Военной Академии, работал по истории войн, занимался живописью у Лампи																	
Веймар	2365	Q3955																		
Вейльшоф Бона	2364		Бона Вейльшоф, из Милана, обратилась к Толстому с письмом от 19/31 января 1894 г., в котором она писала, что выучилась русскому языку для того, чтобы читать в подлиннике сочинения Толстого и просить его написать ей несколько слов на прилагаемом листочке. Ее письмо написано по-русски, старательно, крупным почерком.																	
Вейлеровский	2363		Вейлеровским[?] — Личность его выяснить не удалось.																	
Вейденбаум Евгений Густавович	2362	Q18175820																		
Вейде Адам	2361	Q3740597																		
Везувий	2360	Q524																		
Филатов Нил Федорович	14523	Q2360471																		
Филат Терентьевич	14522		Филат Терентьевич, яснополянский дворовый крестьянин.																	
Строганов Григорий Александрович	13284	Q3116662																		
Богуславский Иван Николаевич	1612		Возможно, тамбовский помещик Облов, муж сестры И. Н. Богуславского, соседа Олсуфьевых, у которого в имении Семерлино бывал Толстой (неопубликованные воспоминания Т. Н. Поливановой, ГЛМ)																	
Гершель Джон	3312	Q5744323																		
Филат Васильевич (Филатов)	14521		Студенты в Харькове: Филатов и Дидрихсон. Я думаю, можно написать им в универс[итет], одному Дидрих[сону] или обоим вместе.																	
Дондукова-Корсакова Надежда Михайловна	4567		Дети брата Е. А. Голицыной — кн. Михаила Александровича Дондукова-Корсакова (1792(?)—1869) — Надежда Михайловна (ум. в 1915), Ольга Михайловна и Алексей Михайлович (1822—1894) — член Смоленского окружного суда; позднее директор попечительного о тюрьмах комитета, камергер.																	
Брейкин Григорий Дмитриевич	1860		Г. Д. Брейкину (Харьков), 18 марта. В письме от 25 февраля Г, Д. Брейкин просил выслать устав сельскохозяйственной общины, выводов Толстой якобы устраивал вместе со священником Г. С. Петровым (читал об этом в какой-то газете).																	
Бренев Василий	1863		Бренев Василий — подполковник, убит 15 мая 1682 г. во время бунта 																	
Хуллигер И.	15039		И. Хуллигеру — на письмо от 19 марта, с просьбой о разрешении на перевод повести «Хозяин и работник», отвечено Т. Л. Толстой на основания пометки Толстого: <Напиши> Ответить.																	
